Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
214864	214984	120	811	332
215194	215284	90	954	311
215474	215714	240	976	326
215754	215834	80	971	306
215884	215954	70	800	245
216053	216403	350	820	251
216533	216613	80	979	328
216703	216953	250	944	328
217023	217813	790	902	337
217992	218432	440	873	332
218592	219362	770	882	363
220061	220141	80	894	231
220161	220381	220	857	200
220421	220791	370	883	227
220881	221101	220	962	254
222060	222410	350	929	277
222540	222860	320	853	271
222969	223199	230	1022	377
223219	223389	170	1004	377
223409	223539	130	989	385
224529	224699	170	849	240
224758	224908	150	889	237
224958	225338	380	971	289
225358	225608	250	977	391
225938	226218	280	933	393
226257	226337	80	937	375
226377	226617	240	1019	404
226657	227407	750	956	387
227487	227567	80	935	413
227677	227857	180	900	258
227937	228177	240	899	375
228386	228456	70	908	166
228706	228786	80	895	396
229875	229945	70	993	313
230175	230305	130	977	138
230535	230615	80	960	158
230625	230765	140	959	221
230925	231105	180	961	229
231344	231424	80	1003	195
231474	231974	500	1014	213
232024	232344	320	1048	221
232404	232474	70	1058	449
232484	232564	80	1060	415
232744	233204	460	1032	389
233453	233603	150	1042	155
233703	233773	70	1020	154
234083	234253	170	997	460
234313	234383	70	990	472
234882	235152	270	1015	121
235502	235612	110	971	514
235662	235822	160	964	354
235842	235932	90	970	366
235992	236102	110	981	394
236412	236562	150	997	461
236671	236791	120	950	441
236811	236941	130	961	457
236961	237561	600	966	476
237671	237821	150	1001	488
238340	238410	70	994	377
238470	238630	160	1013	374
238670	238890	220	1013	359
238910	239150	240	1015	342
239230	239550	320	952	313
239560	239700	140	942	309
239949	240079	130	1186	307
240119	240279	160	1118	368
240749	240819	70	877	528
241708	242488	780	976	405
242558	242638	80	943	362
242658	242898	240	928	361
242938	243048	110	934	347
243088	243448	360	948	328
243557	243887	330	951	315
243947	244037	90	916	307
244077	244157	80	848	298
244227	244827	600	984	299
245286	245366	80	1127	678
246246	246336	90	942	323
246376	246456	80	995	316
246536	246646	110	957	292
246905	246995	90	883	372
247125	247435	310	876	394
247525	247735	210	918	406
247755	248015	260	913	389
248345	248445	100	827	374
248474	249004	530	856	349
249024	249704	680	847	339
249724	249824	100	855	325
249844	250084	240	849	304
250103	250653	550	862	299
250673	251193	520	867	311
251253	251373	120	829	323
251443	251783	340	846	242
251952	252482	530	837	277
