Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
8405	430	430	996	402
8415	430	430	996	402
8425	430	430	996	402
8435	430	430	996	402
8445	430	430	996	402
8455	430	430	996	402
8465	430	430	996	402
8475	430	430	996	402
8485	430	430	996	402
8495	430	430	996	402
8505	430	430	996	402
8515	430	430	996	402
8525	430	430	996	402
8535	430	430	996	402
8545	430	430	996	402
8555	430	430	996	402
8565	430	430	996	402
8575	430	430	996	402
8585	430	430	996	402
8595	430	430	996	402
8605	430	430	996	402
8615	430	430	996	402
8625	430	430	996	402
8655	150	150	988	394
8665	150	150	988	394
8675	150	150	988	394
8685	150	150	988	394
8695	150	150	988	394
8705	150	150	988	394
8715	150	150	988	394
8725	150	150	988	394
8735	150	150	988	394
8745	150	150	988	394
8755	150	150	988	394
8765	150	150	988	394
8775	150	150	988	394
8785	150	150	988	394
8795	150	150	988	394
8825	190	190	973	353
8835	190	190	973	353
8845	190	190	973	353
8855	190	190	973	353
8865	190	190	973	353
8875	190	190	973	353
8885	190	190	973	353
8895	190	190	973	353
8905	190	190	973	353
8915	190	190	973	353
8925	190	190	973	353
8935	190	190	973	353
8945	190	190	973	353
8955	190	190	973	353
8965	190	190	973	353
8975	190	190	973	353
8985	190	190	973	353
8995	190	190	973	353
9005	190	190	973	353
9035	120	120	962	339
9045	120	120	962	339
9055	120	120	962	339
9065	120	120	962	339
9075	120	120	962	339
9085	120	120	962	339
9095	120	120	962	339
9105	120	120	962	339
9115	120	120	962	339
9125	120	120	962	339
9135	120	120	962	339
9145	120	120	962	339
9285	260	260	1016	350
9295	260	260	1016	350
9305	260	260	1016	350
9315	260	260	1016	350
9325	260	260	1016	350
9335	260	260	1016	350
9345	260	260	1016	350
9355	260	260	1016	350
9365	260	260	1016	350
9375	260	260	1016	350
9385	260	260	1016	350
9395	260	260	1016	350
9404	260	260	1016	350
9414	260	260	1016	350
9424	260	260	1016	350
9434	260	260	1016	350
9444	260	260	1016	350
9454	260	260	1016	350
9464	260	260	1016	350
9474	260	260	1016	350
9484	260	260	1016	350
9494	260	260	1016	350
9504	260	260	1016	350
9514	260	260	1016	350
9524	260	260	1016	350
9534	260	260	1016	350
9584	80	80	1016	324
9594	80	80	1016	324
9604	80	80	1016	324
9614	80	80	1016	324
9624	80	80	1016	324
9634	80	80	1016	324
9644	80	80	1016	324
9654	80	80	1016	324
9684	130	130	994	323
9694	130	130	994	323
9704	130	130	994	323
9714	130	130	994	323
9724	130	130	994	323
9734	130	130	994	323
9744	130	130	994	323
9754	130	130	994	323
9764	130	130	994	323
9774	130	130	994	323
9784	130	130	994	323
9794	130	130	994	323
9804	130	130	994	323
9834	100	100	973	319
9844	100	100	973	319
9854	100	100	973	319
9864	100	100	973	319
9874	100	100	973	319
9884	100	100	973	319
9894	100	100	973	319
9904	100	100	973	319
9914	100	100	973	319
9924	100	100	973	319
9954	260	260	974	299
9964	260	260	974	299
9974	260	260	974	299
9984	260	260	974	299
9994	260	260	974	299
10004	260	260	974	299
10014	260	260	974	299
10024	260	260	974	299
10034	260	260	974	299
10044	260	260	974	299
10054	260	260	974	299
10064	260	260	974	299
10074	260	260	974	299
10084	260	260	974	299
10094	260	260	974	299
10104	260	260	974	299
10114	260	260	974	299
10124	260	260	974	299
10134	260	260	974	299
10144	260	260	974	299
10154	260	260	974	299
10164	260	260	974	299
10174	260	260	974	299
10184	260	260	974	299
10194	260	260	974	299
10204	260	260	974	299
10234	250	250	968	241
10244	250	250	968	241
10254	250	250	968	241
10264	250	250	968	241
10274	250	250	968	241
10284	250	250	968	241
10294	250	250	968	241
10304	250	250	968	241
10314	250	250	968	241
10324	250	250	968	241
10334	250	250	968	241
10344	250	250	968	241
